Veg,Soil,Eco,Group
CA2,ST1,AC5,AC
IH1,ST1,AC5,AC
IH1a,ST1,AC5,AC
IH2,ST1,AC5,AC
IH2a,ST1,AC5,AC
IH4,ST1,AC9,AC
IH4a,ST1,AC9,AC
IH6,ST1,AC9,AC
IH6a,ST1,AC9,AC
IH6b,ST1,AC9,AC
IH7,ST1,AC9,AC
IH8,ST1,AC5,AC
MW10,ST1,AC5,AC
MW11,ST1,AC5,AC
MW12,ST1,AC5,AC
MW9,ST1,AC5,AC
OW1,ST1,AC1,AC
OW2,ST1,AC1,AC
OW3,ST1,AC1,AC
SH1,ST1,AC9,AC
SH2,ST1,AC9,AC
SH3,ST1,AC9,AC
SH4,ST1,AC9,AC
SH5,ST1,AC9,AC
SH5b,ST1,AC9,AC
SH6,ST1,AC9,AC
SH7,ST1,AC9,AC
SH8,ST1,AC9,AC
SP1,ST1,AC5,AC
SP10,ST1,AC5,AC
SP1a,ST1,AC5,AC
SP2,ST1,AC5,AC
SP2a,ST1,AC5,AC
SP3,ST1,AC5,AC
SP4,ST1,AC5,AC
SP4a,ST1,AC5,AC
SP4b,ST1,AC5,AC
SP5,ST1,AC5,AC
SP6,ST1,AC5,AC
SP7,ST1,AC5,AC
SP8,ST1,AC5,AC
TH1,ST1,AC9,AC
TH1a,ST1,AC9,AC
TH5,ST1,AC9,AC
TH6,ST1,AC9,AC
TH7,ST1,AC9,AC
TH8,ST1,AC9,AC
TH8a,ST1,AC9,AC
TH9,ST1,AC9,AC
TH4,ST10,AC14,AC
WC10,ST10,AC12,AC
WC10a,ST10,AC12,AC
WC5,ST10,AC12,AC
WC6,ST10,AC8,AC
WC7,ST10,AC8,AC
WC7a,ST10,AC8,AC
WC8,ST10,AC12,AC
WC9,ST10,AC12,AC
WD1,ST10,AC15,AC
WD2,ST10,AC8,AC
WD3,ST10,AC12,AC
WD4,ST10,AC12,AC
WD5,ST10,AC15,AC
WM1,ST10,AC12,AC
WM2,ST10,AC12,AC
WM3,ST10,AC8,AC
WM3a,ST10,AC8,AC
WM4,ST10,AC12,AC
WM5,ST10,AC15,AC
WC10,ST10S,AC12,AC
WC10a,ST10S,AC12,AC
WC5,ST10S,AC12,AC
WC6,ST10S,AC8,AC
WC7,ST10S,AC8,AC
WC7a,ST10S,AC8,AC
WC8,ST10S,AC12,AC
